Section,Item,Description,Price
Veg,Mutter Paneer,Peas and cottage cheese in a tomato based sauce,12
NonVeg,Lamb Kebab,Minced lamb with spices grilled on skewers,14
Dinner,Palak Paneer,Spinach with cottage cheese cubes,13
Lunch,Chana Masala,Spicy chickpeas with a blend of spices,11
Drink,Coffee,Indian filter coffee,3
Dessert,Jalebi,Crispy sweet pretzel-like dessert,4
Snack,Chaat,Street food snack with various ingredients,5
Alcohol,Whisky,Popular brands of whisky,10
Veg,Dal Makhani,Black lentils simmered overnight,14
Veg,Kadai Paneer,Paneer with bell peppers in spices,15
NonVeg,Rogan Josh,Kashmiri lamb curry,18
NonVeg,Fish Curry,Fish cooked in a spicy curry,16
Dinner,Biryani,Rice dish with meat or vegetables,21
Lunch,Rajma,Red kidney bean curry,12
Drink,Coffee,Traditional Indian filter coffee,4
Dessert,Jalebi,Sweet crispy swirls,6
Snack,Chaat,Street food snack,5
Alcohol,Whisky,Various brands,9
