Item,Description,Price
Butter Chicken,Delicious creamy tomato-based chicken curry,20.99
Paneer Tikka,Grilled cottage cheese with Indian spices,18.50
Lamb Biryani,Fragrant basmati rice cooked with tender lamb,22.00
Garlic Naan,Soft naan bread topped with fresh garlic,4.99
Mango Lassi,Chilled yogurt drink with fresh mango,5.50
Masala Chai,Traditional spiced Indian tea,2.99
Chicken Tikka Masala,Spicy grilled chicken simmered in a rich sauce,19.99
Vegetable Samosa,Crispy pastry filled with spiced vegetables,3.99
Chole Bhature,Spicy chickpeas served with fried bread,12.99
Tandoori Chicken,Marinated chicken cooked in a clay oven,18.00
Aloo Gobi,Cauliflower and potatoes cooked with spices,12.50
Palak Paneer,Spinach and cottage cheese curry,14.99
Rogan Josh,Tender lamb cooked in a spicy gravy,22.50
Daal Tadka,Lentils tempered with spices,9.99
Pav Bhaji,Mashed vegetable curry served with soft bread rolls,8.99
Gulab Jamun,Sweet syrup-soaked dough balls,5.50
Chicken Korma,Mildly spiced creamy chicken curry,20.00
Hyderabadi Biryani,Flavored rice with rich spices and chicken,15.99
Prawn Curry,Fresh prawns in a coconut-based curry,24.50
Saffron Rice,Aromatic basmati rice flavored with saffron,3.50
Vegetable Biryani,Aromatic rice cooked with mixed vegetables,12.99
Paneer Butter Masala,Paneer cubes cooked in creamy tomato sauce,16.50
Mutton Curry,Spicy mutton curry cooked with aromatic spices,23.99
Bhindi Masala,Stir-fried okra with onions and tomatoes,10.99
Raita,Yogurt-based side dish with cucumbers and mint,4.00
Chicken Vindaloo,Spicy tangy chicken curry,21.99
Pani Puri,Crispy puris filled with tangy tamarind water,6.50
Masala Dosa,South Indian pancake stuffed with potatoes,10.99
Gajar Halwa,Indian carrot-based sweet dish,4.99
Rasgulla,Sweet dumplings soaked in sugar syrup,5.50
